id,video
201910220LAC,3XdUQSDLyVM
201910220TOR,9JTuHqFPxfM
201910230BRK,tOrPy5ZmNcA
201910230CHO,jxPEw448dho
201910230DAL,wbSvXzulMFk
201910230IND,M5_TRhFkAKY
201910230MIA,2FWyxXheRZI
201910230ORL,AQjQ5T5R5B8
201910230PHI,9dxwFEJTZkM
201910230PHO,caUt94RCxDk
201910230POR,LUAz3hKcF2o
201910230SAS,zPHG-xDd6bw
201910230UTA,jxOJsq7BkX8
201910240DET,1ShMSFtBoEM
201910240GSW,9KoD5V48Xak
201910240HOU,PmzyhWq-pfU
201910250BOS,LahgONVTppw
201910250BRK,LD3iqNRYGm8
201910250CHO,q5XRRMvNWXo
201910250DEN,R44pf33Kv30
201910250LAL,Y8EDlDvyoZw
201910250MEM,JpLdIVh2q50
201910250NOP,7XfRPodgfr0
201910250OKC,_uOWMW-INmU
201910250SAC,hVrUf_PBjxg
201910260ATL,-4zIW_02aO8
201910260CHI,gSv231CADHg
201910260CLE,q_R9dAVAORE
201910260DET,zQxtr2eFe_8
201910260HOU,C7hf0Tz-HbE
201910260MIL,QTfiWZUFows
201910260NYK,3Wo-tzdURBE
201910260PHO,hQTsFoZO8hY
201910260SAS,UjK0-wvPM4w
201910260UTA,RQoVpo7GlC4
201910270DAL,_HmzH_s8SYA
201910270LAL,VUp-3CXc_Gg
201910270MEM,mtGaPtUR5lU
201910270MIN,71nEbtH4muI
201910270OKC,Mv0RZjmKsrk
201910280ATL,M3Pq4o7jo9s
201910280DET,nLRbO7oExVI
201910280HOU,Dt1e1YTzif4
201910280LAC,fCW-RoN_a4M
201910280MIL,T5IV07pa71Y
201910280NOP,8i0YritVtS0
201910280NYK,uXSPrvsqW5g
201910280PHO,jGndN-QWlcg
201910280SAC,N9cLCSs7QmI
201910280SAS,MjBtDw7lfuU
201910280TOR,qGAamgmpYoQ
201910290DEN,3A8anVZyyek
201910290LAL,l2C7nmGB3gE
201910290MIA,EX4TTkNnDpo
201910300BOS,EC9fS7_rnlk
201910300BRK,DN-7oPRvLU4
201910300CLE,RNskMU_Pi4M
201910300GSW,YP-4vtLXu6o
201910300OKC,sKpGAlaCdMQ
201910300ORL,QTuYcThRqjQ
201910300PHI,hVsUKXkiD2E
201910300SAC,H_Bh0uqQVp8
201910300TOR,rQuM0n0Xk8E
201910300UTA,lu42ueX-_EY
201910300WAS,qwR-tAu4i9k
201910310ATL,aKCJu_ojfO8
201910310LAC,SxTnNwkq1fQ
201910310NOP,Gh_BV-BzlBU
201911010BOS,Fwdem9zkT5s
201911010BRK,teZsd6smtiU
201911010CHI,qbRCQ0snF6g
201911010DAL,wXIzVE9At8Y
201911010GSW,BSBO6wwFI9A
201911010IND,9jiRKk5fcBE
201911010ORL,3dQvwZtAAJE
201911010SAC,ehtHAjnTOxE
201911020DET,MobrXt3sLsQ
201911020GSW,NTXRuof6Yp0
201911020MEM,NvWCxyGJkpw
201911020MIL,iFdRAuHw1w8
201911020OKC,d0pJeGnON8Y
201911020ORL,xFtPjsMQdQg
201911020POR,kji-3TMIgBs
201911020WAS,3E8yy5H6TLw
201911030CLE,w5mycYbkig0
201911030IND,2M-ZcpjLqW0
201911030LAC,ITjl5g6Z3_0
201911030MIA,JkxSfyb27PY
201911030NYK,Z-ERl_baUCA
201911030SAS,7E-JkzEiYnw
201911040BRK,Mp4OvxZksW8
201911040GSW,oe1CQ-Oyevo
201911040MEM,uNNonJ_ZslA
201911040MIN,nodkeg0bJ08
201911040PHO,xFWauhv2G0A
201911040WAS,ZHtgbzlM4Ps
201911050ATL,2qjtd7vFbwM
201911050CHI,kfF_QaNqEBo
201911050CHO,k-5TOJmqTJw
201911050CLE,WldUNHlWJSY
201911050DEN,Pxoh_z1X-94
201911050OKC,Ejy8sdG-4wQ
201911060ATL,h99mj8cc5CU
201911060DAL,yzqPkFmFwpg
201911060DET,vQivzg9X06o
201911060HOU,6Omf2y-5NFo
201911060IND,cGbYAiBuNW4
201911060LAC,cmSCOC4wZOo
201911060MEM,LiInBALVhq8
201911060TOR,M8fJo0j0NH0
201911060UTA,rL_zNF6yQAM
201911070CHO,7wSE-S4_5Po
201911070LAC,R4PlwBHg5UM
201911070PHO,NdygU09UmDE
201911070SAS,mJVeb2t6NkE
201911080ATL,N0jfXbvIVdA
201911080DAL,oSL6JfpxGYg
201911080DEN,nzVLzhS-E88
201911080IND,T5C9NDBfa0s
201911080LAL,tdbwP6q5aIs
201911080MIN,WdZowGPtZJE
201911080NOP,8lmyB1nRPss
201911080ORL,hRo4CWIZA0Q
201911080POR,hdLN_M3F7eo
201911080UTA,emRercvCw0s
201911080WAS,jsozMFzdEvQ
201911090CHI,OMhILV51EAU
201911090CHO,Z0b7FJcj_Dg
201911090MEM,2dBN_yeqW1U
201911090OKC,sg03J9u-Lek
201911090SAS,tm2iSJzk_vg
201911100LAL,P7LHurIKAXI
201911100MIN,DhepsMetfdw
201911100NYK,EXv4wxChAbo
201911100OKC,6-8MsV6KKTc
201911100ORL,27mT5XIL2Po
201911100PHI,KxhYcljgDaE
201911100PHO,ucz_oSnGIPs
201911100POR,4UbNCvTE_G4
201911110BOS,rfYdoYBQedk
201911110DET,3C1_IX_6Gr0
201911110GSW,CaRlybvQyVE
201911110LAC,egnezkDB45g
201911110NOP,AdmQMxooH68
201911110SAS,W4eCG1s4Vuk
201911120CHI,dIy_JBxAvFE
201911120DEN,nAYPkKGFOFo
201911120IND,-wrk925BePc
201911120MIA,JJt8Hqgj5EE
201911120PHI,DAoDWPV9jxY
201911120PHO,Zcfu4oNIdAs
201911120SAC,VBtKmKWrfnE
201911120UTA,ZOLi5QlNxMI
201911130BOS,Bbsh14S-gcA
201911130CHO,AmRelMMALnM
201911130HOU,bnXlN4-3rdQ
201911130LAL,wVREES4dJeM
201911130MIN,PjbMwZujwzg
201911130ORL,WfWolq6prVk
201911130POR,JxxBIVn86f4
201911140CLE,mUMi1TELbgs
201911140DEN,R9POmMnc93k
201911140MIL,n1ZScrqXEso
201911140NOP,FPE25L08624
201911140NYK,haPdzZvWy9Y
201911140PHO,h2bBwQaBVfk
201911150CHO,6qrk3cHuBiQ
201911150GSW,_WfB6pE5Yo8
201911150HOU,8EfTCXHHRhs
201911150LAL,mTUJ5xnB-d0
201911150MEM,LAEplORMwik
201911150MIN,ULp7O6T9VkA
201911150OKC,NgPUsWLAgoA
201911150ORL,QIBju5Rj9iM
201911160CHI,HT7P5bfXaB8
201911160DAL,iPQy2jsxHoI
201911160IND,eIBiMKqfpY4
201911160LAC,8T0qc6OX4X8
201911160MIA,Nh6QW8_R7ec
201911160MIN,tkHrWRaqBuM
201911160NYK,Club3rFLXRU
201911160SAS,j3PutLGNwnw
201911170CLE,SeskbftDeI0
201911170LAL,HYJBWQOCIEY
201911170MEM,wp0JA1NZvt8
201911170NOP,NaX6Pw_00CQ
201911170ORL,2yEPwcbRGOw
201911170SAC,lBQItuOOAIo
201911180BRK,KEbnnIyhfu4
201911180CHI,2FLz1c_JQGw
201911180DAL,lLob-S4zFps
201911180HOU,vUR0o2-FDuE
201911180LAC,fgF9EgOxToY
201911180NYK,Zrcv-WIXK2E
201911180PHO,swfp3XGYnQw
201911180TOR,o7GAvef1eDQ
201911180UTA,gxUDBKUTDSg
201911190LAL,kZHUKWVikpM
201911190MEM,MrmqrmcNJSM
201911190NOP,cT2sOIJrcjo
201911190SAC,a3T3B1MzVss
201911200ATL,5rYg3Y8u3NU
201911200BRK,QEn8I-rbXuc
201911200CHI,331EIQCmzVY
201911200DAL,TE6er15O8U4
201911200DEN,5xnANpufV-A
201911200LAC,aqLHF46G7OA
201911200MIA,tgSm2SB9dzE
201911200MIN,JGM9XDCJ648
201911200PHI,Z7sYYbHSHyY
201911200TOR,TCsaw3hm4zY
201911200WAS,fLpfUyF-KM4
201911210MIL,z-DMMuUEwQs
201911210PHO,H1-M129flU4
201911220BRK,BqgWGddiUcc
201911220CHI,Zq7C8hO6EGA
201911220DAL,ZzMzL8TOEyw
201911220DEN,g8GfdsYUGq8
201911220DET,9UmMR7tV0b4
201911220LAC,hjFc5WQu99w
201911220OKC,PGRGud_-vg8
201911220PHI,rli_xBDK0XY
201911220UTA,xd2Yu-iIqxY
201911220WAS,-zz8fnjJUNQ
201911230ATL,8RIbjNtZxwY
201911230CHO,hwIBWVUqp2Y
201911230CLE,B_j0ajCqJ64
201911230IND,peHaDWv0l90
201911230MEM,u-vVjCqZkFk
201911230MIL,0YQmzrNT_9Q
201911230MIN,FU4jNEpWK-c
201911230NYK,EbS6s3-1ds4
201911230PHI,IZVbY3VytL0
201911230UTA,PyRggzXBOnw
201911240DEN,k0qwOPx-OaM
201911240HOU,a-FgjBNwowo
201911240LAC,wqOrZMpSQ-8
201911240NYK,mXpgPDvmECE
201911240WAS,KkMXQp9ZON4
201911250ATL,ZJTEOmHuM0I
201911250BOS,LcdVJxUWDlc
201911250CHI,54lCNaOcCdk
201911250CLE,r2Q2j5Ai5fA
201911250DET,tZhkBeXDBxE
201911250GSW,SmmB-6QqcKc
201911250IND,v86zWK4H3Jc
201911250MIA,Uy0j5jdVQNA
201911250MIL,56h77e8aiF0
201911250SAS,Fcae7SVJSmc
201911250TOR,vknGYleUVgI
201911260DAL,6LvAYFMF1aY
201911260DEN,hHHnpN9mgKk
201911270BOS,_tfepjZ3PAQ
201911270CHO,UXsDdp__w6o
201911270CLE,8yDqPYmZA5M
201911270GSW,o-RyMesjvus
201911270HOU,PTQK5Cwo-oY
201911270IND,EaOd2CfBRPE
201911270MEM,HSx68-Txuwc
201911270MIL,rEEbGeuCk2c
201911270NOP,BkROhXYZGjM
201911270PHI,gtiJZ8mZeYE
201911270PHO,CnC1HcCYRe0
201911270POR,PiiMNUjMTuE
201911270SAS,Jok121BKzvs
201911270TOR,x_60arD-0Io
201911290BRK,-EzOjzqB9js
201911290CLE,oVKiIQguCok
201911290DET,uePPUqcuM3Y
201911290IND,4iW_0yyGWWk
201911290LAL,Mz4IKSaXajU
201911290MEM,pjlr-U7chXY
201911290MIA,tCaqfgJrR4M
201911290NYK,b6uv_B7FDXs
201911290OKC,jph28jVABpk
201911290ORL,qIk5TEfiMBA
201911290PHO,eh9z1NIV2cE
201911290POR,e1KGePf1eds
201911290SAS,WgiI3Yt2x2c
201911300HOU,yf389bYO3uc
201911300MIL,2OCZYavhf5A
201911300PHI,QznqalKk-gk
201911300SAC,MSbr-0sHeHE
201912010BRK,PwLc9yiyrIE
201912010DET,ENACKBXq4J4
201912010LAC,OiptAlBkMKE
201912010LAL,fyBA-0t8nAY
201912010MIN,QwoiSKJ3xRk
201912010NOP,kaCmpn2t8Nc
201912010NYK,JPn36KseXhY
201912010ORL,JIuPQ1KxR1o
201912010TOR,EALIgEzmGxc
201912020ATL,BtiVxOOZAHs
201912020CHO,I2khOMQ_ge8
201912020MEM,xvWutONT6t8
201912020MIL,SjT-ggOPkXU
201912020PHI,xO2IJly4li8
201912020SAC,EQBVcw5Z_zQ
201912030CLE,6--x3QaiIGM
201912030DEN,jYI7RLpqYH4
201912030LAC,dfKvEl7BCdE
201912030NOP,9DzhTRM5jbc
201912030SAS,ZwjgKlE2YAk
201912030TOR,fxXrDhXxYGk
201912030WAS,DyBxVyQASJ8
201912040ATL,zamAe-6cFVc
201912040BOS,yRj_uy-dM3I
201912040CHI,ILxo92LMmYU
201912040CHO,UVdnhLzOqJM
201912040DAL,QVMpChwl44E
201912040DET,H8rGTZu0rPE
201912040OKC,2uzTFA4Wtek
201912040ORL,ggkWm_NxPSU
201912040POR,I1jSqMn-tCM
201912040UTA,haKCQvPYxmw
201912050NOP,OjpkF15Z_fU
201912050NYK,nVV35T0mssA
201912050TOR,qiWsPpGWQDs
201912050WAS,KvP_r6K8cms
201912060BOS,PRChWaqTSj4
201912060CHI,3G4Z4zpp9wc
201912060CHO,Uzsemao1EtA
201912060CLE,rAv9iEDtXzE
201912060DET,ojjJxv4M_ps
201912060MIA,C1LLkl-38mY
201912060MIL,oy-fpDLvOI4
201912060OKC,xKGdVz_pVrA
201912060POR,NDh9CynL2BA
201912060SAS,CC5tzAY-waw
201912070DAL,gzG0HTiPR4Q
201912070HOU,DzYXBR6Vzi0
201912070NYK,5j-yoJyqWf8
201912070PHI,GiR_6YFlP0M
201912070UTA,GnyboLJ3qkY
201912080BRK,XYVRkwtg-hg
201912080CHO,u8nK5AxTZhI
201912080DAL,Jp5itlwP3Mo
201912080LAL,3hbo3aUVsyQ
201912080MIA,Tjk5PjzoRZA
201912080PHI,eI-4deiYNC8
201912080POR,nSflHHg1GoA
201912080WAS,GamTLgFR_nA
201912090BOS,TEEspQE_Gyo
201912090CHI,nFn0OI1fBrg
201912090GSW,QlaQkD7ijWU
201912090HOU,0mmuLgOhnHo
201912090IND,yg6x0smcpCY
201912090MIL,iuGj0XZXB6M
201912090NOP,UN0jJx3zKKc
201912090PHO,B6y3V3qfp2k
201912090UTA,6kvGjShd8Wg
201912100CHO,UMacJzV1Bq0
201912100MIA,pQUB6aGbI4o
201912100PHI,UyEEPHSKxbE
201912100POR,9TCn7rtLSPM
201912110BRK,-dCuFqBV-Sk
201912110CHI,-6S-n0kFKPg
201912110CLE,qsNY4_BUrqs
201912110GSW,b-Gw_A_WN2Y
201912110IND,v5TrZIRpOfc
201912110MIL,cF_GZyYYQRM
201912110MIN,HarULzvU7Oc
201912110ORL,t6Z6RIXq0L0
201912110PHO,4dEjWho3B3U
201912110SAC,wQl3t81b4yU
201912110TOR,QyLBfHXgiiQ
201912120BOS,2FMfCVf6TGo
201912120DEN,BesXoOZczyQ
201912120DET,XuRRCoIfwms
201912120SAS,VgdEZPayhjk
201912130ATL,gF1F8Z3DM9A
201912130CHI,4fCY3dluNTk
201912130MEM,bQGEfIkS3vo
201912130MIA,UnDWzm5CnWY
201912130MIN,XekQx0rhJ3c
201912130ORL,ePnvI6leBkk
201912130PHI,0eS9e-WIABE
201912130SAC,El_a8fiyVdg
201912130UTA,soD3XHdjGK0
201912140CHI,NXju-S3oPdU
201912140DAL,HZ6fvcn_YuE
201912140DEN,20tXgMFV_Lg
201912140HOU,cysHgNnf2bc
201912140MEM,k2Elif0xs2w
201912140MIL,6sss4Kdw8No
201912140PHO,hk3EAxMslWQ
201912140TOR,nkLEanNe8Cg
201912150ATL,L_0UJNWEmXs
201912150BRK,172rhkuOthg
201912150DEN,RNtCYcME_5Q
201912150GSW,FEs0v4lTg-w
201912150IND,_mfdKZH5Cwo
201912150NOP,VCQdBsm2vTg
201912160DET,gdok10mulF0
201912160HOU,qk2R3Ju_lh4
201912160MEM,tH6Q_PDcms8
201912160MIL,kwM3oD6frqo
