id,home,away,video
201410290SAC,SAC,GSW,tP_3ml77TKY
201411010GSW,GSW,LAL,LPDnemFoqVk
201411020POR,POR,GSW,19V79LZTMmc
201411050GSW,GSW,LAC,ttpLIiMgReY
201411080HOU,HOU,GSW,TiQK_VVxdOg
201411090PHO,PHO,GSW,cIajNvK_QB0
201411110GSW,GSW,SAS,QIdLGmEtoSI
201411130GSW,GSW,BRK,yrviNSgSTd4
201411150GSW,GSW,CHO,d02q3HbPdB8
201411160LAL,LAL,GSW,LPDnemFoqVk
201411210GSW,GSW,UTA,CRyPoqFuKUs
201411230OKC,OKC,GSW,e7zJkAQstqw
201411250MIA,MIA,GSW,cIajNvK_QB0
201411260ORL,ORL,GSW,Jd5U-Rxhlp8
201411280CHO,CHO,GSW,Dmke7XiJwSg
201411300DET,DET,GSW,K5XDIOlH9-k
201412020GSW,GSW,ORL,R_k_crufV1g
201412040GSW,GSW,NOP,mcV25AgnDKg
201412060CHI,CHI,GSW,3G4Z4zpp9wc
201412080MIN,MIN,GSW,mcxF7zcc30k
201412100GSW,GSW,HOU,51x3zkkLKjY
201412130DAL,DAL,GSW,AyL9WePP3_U
201412140NOP,NOP,GSW,19V79LZTMmc
201412160MEM,MEM,GSW,Mxv5h-RZWVs
201412180GSW,GSW,OKC,tHwh0qV2Rxw
201412220GSW,GSW,SAC,hv1s8LMLEvA
201412230LAL,LAL,GSW,G6go_js-qoU
201412250LAC,LAC,GSW,rQ7ONhFsX2k
201412270GSW,GSW,MIN,lmuwCxgbtf4
201412300GSW,GSW,PHI,Bp3fjOTvcbU
201501020GSW,GSW,TOR,KtmmpCNRMFc
201501050GSW,GSW,OKC,rrEaLUTLQMY
201501070GSW,GSW,IND,8BE1zcoQmKU
201501090GSW,GSW,CLE,Mxv5h-RZWVs
201501130UTA,UTA,GSW,19V79LZTMmc
201501140GSW,GSW,MIA,fXWTMFJlk_s
201501160OKC,OKC,GSW,-USrOy-aCmQ
201501170HOU,HOU,GSW,xyTCgkEs_yA
201501190GSW,GSW,DEN,Xww7gLuJm8g
201501210GSW,GSW,HOU,rMZknDqC-Ho
201501230GSW,GSW,SAC,dXMVjUnip-Q
201501250GSW,GSW,BOS,t8tiIhL2YmY
201501270GSW,GSW,CHI,FevAhScI1rg
201501300UTA,UTA,GSW,ClS213B-lVM
201501310GSW,GSW,PHO,WgpHp9p917M
201502030SAC,SAC,GSW,G6go_js-qoU
201502040GSW,GSW,DAL,lsAzCXv0OTw
201502060ATL,ATL,GSW,lgxgpE51kCQ
201502070NYK,NYK,GSW,LyRNOf6_LJo
201502090PHI,PHI,GSW,FevAhScI1rg
201502110MIN,MIN,GSW,lgxgpE51kCQ
201502200GSW,GSW,SAS,rNziLIZ5bEk
201502220IND,IND,GSW,AOYACk7m7Fk
201502240WAS,WAS,GSW,Mp3_Pa2fdt0
201502260CLE,CLE,GSW,RgB5Ub1GNUU
201502270TOR,TOR,GSW,Dmke7XiJwSg
201503010BOS,BOS,GSW,AOYACk7m7Fk
201503020BRK,BRK,GSW,FevAhScI1rg
201503040GSW,GSW,MIL,PAXQAHg-_KY
201503060GSW,GSW,DAL,JHo4E9hqHfU
201503080GSW,GSW,LAC,EGqNNhAibTg
201503090PHO,PHO,GSW,vz24DZq_bjg
201503110GSW,GSW,DET,--hhb0My3g4
201503130DEN,DEN,GSW,19V79LZTMmc
201503140GSW,GSW,NYK,19V79LZTMmc
201503160GSW,GSW,LAL,G6go_js-qoU
201503180GSW,GSW,ATL,lNKC0FfTa5Q
201503200GSW,GSW,NOP,CgT-zZ5WOu4
201503210GSW,GSW,UTA,PEt4rGsYmvo
201503230GSW,GSW,WAS,3wSczVmG1bI
201503240POR,POR,GSW,Mp3_Pa2fdt0
201503270MEM,MEM,GSW,UpW5lsPxJi8
201503280MIL,MIL,GSW,19V79LZTMmc
201503310LAC,LAC,GSW,EGqNNhAibTg
201504020GSW,GSW,PHO,ku6VBh4TMh0
201504040DAL,DAL,GSW,lsAzCXv0OTw
201504050SAS,SAS,GSW,RgB5Ub1GNUU
201504070NOP,NOP,GSW,S_KdG2XsWwM
201504090GSW,GSW,POR,kab1XGZUlz4
201504110GSW,GSW,MIN,lgxgpE51kCQ
201504130GSW,GSW,MEM,XPuIiZfVNns
201504150GSW,GSW,DEN,Xww7gLuJm8g
201504180GSW,GSW,NOP,WPbgR-jxinA
201504200GSW,GSW,NOP,CgT-zZ5WOu4
201504230NOP,NOP,GSW,auvdQHVoYS4
201504250NOP,NOP,GSW,S_KdG2XsWwM
201505030GSW,GSW,MEM,gr-oRtRH-bU
201505050GSW,GSW,MEM,XPuIiZfVNns
201505090MEM,MEM,GSW,LleBJwip1z8
201505110MEM,MEM,GSW,5ewSEY0csUE
201505130GSW,GSW,MEM,XPuIiZfVNns
201505150MEM,MEM,GSW,Fa_lw05TppE
201505190GSW,GSW,HOU,mrMq0W0iw9Q
201505210GSW,GSW,HOU,rMZknDqC-Ho
201505230HOU,HOU,GSW,xyTCgkEs_yA
201505250HOU,HOU,GSW,xyTCgkEs_yA
201505270GSW,GSW,HOU,xyTCgkEs_yA
201506040GSW,GSW,CLE,Mxv5h-RZWVs
201506070GSW,GSW,CLE,Mxv5h-RZWVs
201506090CLE,CLE,GSW,Mxv5h-RZWVs
201506110CLE,CLE,GSW,Mxv5h-RZWVs
201506140GSW,GSW,CLE,WTLt6pXKHBg
201506160CLE,CLE,GSW,Mxv5h-RZWVs
201410280NOP,NOP,ORL,QTuYcThRqjQ
201411010NOP,NOP,DAL,x6d5JdoLu7Q
201411030MEM,MEM,NOP,HljCpKlh-X0
201411040NOP,NOP,CHO,GN0v6UG1LhU
201411080SAS,SAS,NOP,8L6h2NsOmZw
201411100CLE,CLE,NOP,dGrWqOpW_qM
201411120NOP,NOP,LAL,cb-lSDN3_-c
201411140NOP,NOP,MIN,_0gzRQKYGW4
201411170POR,POR,NOP,s78PmSszbTw
201411180SAC,SAC,NOP,GvhK6h3BPIg
201411210DEN,DEN,NOP,HgsyfEYdjqE
201411220UTA,UTA,NOP,NgV1iDWwMCs
201411250NOP,NOP,SAC,KSL8wH42MV8
201411280ATL,ATL,NOP,PCPlU4eLvv8
201411290WAS,WAS,NOP,cew-Uvc3aW8
201412020NOP,NOP,OKC,JOlrYNjUtw4
201412060LAC,LAC,NOP,PrA36DICdzE
201412070LAL,LAL,NOP,pc8JK_RM4V8
201412090NOP,NOP,NYK,bh3QVZLBY2M
201412100DAL,DAL,NOP,atJRVsI3IYU
201412120NOP,NOP,CLE,w7_ow2hzCe0
201412160NOP,NOP,UTA,HlYBqLCaCWU
201412180HOU,HOU,NOP,gjpGnytzeSk
201412200NOP,NOP,POR,mytJksVArTI
201412210OKC,OKC,NOP,6qz9rPC1vIg
201412230IND,IND,NOP,_f8rWqh9vCU
201412260NOP,NOP,SAS,qEPUA32hS94
201412270CHI,CHI,NOP,juVOB0SxRFw
201412300NOP,NOP,PHO,fZzojw1bq6A
201412310SAS,SAS,NOP,1CVT6UmtQnQ
201501020NOP,NOP,HOU,rMZknDqC-Ho
201501050NOP,NOP,WAS,tV10vG98RBQ
201501070CHO,CHO,NOP,metapp0XZ9k
201501090NOP,NOP,MEM,LleBJwip1z8
201501120BOS,BOS,NOP,F6dU0MxY1fU
201501140DET,DET,NOP,TZlz0Zc8Ba0
201501160PHI,PHI,NOP,zZBZoq0l2zY
201501180TOR,TOR,NOP,2MuiwsItQmk
201501190NYK,NYK,NOP,CH7DZiPzX68
201501210NOP,NOP,LAL,G6go_js-qoU
201501230MIN,MIN,NOP,ELB7qcX4Cvw
201501250NOP,NOP,DAL,xGWRFV9RKgY
201501260NOP,NOP,PHI,xxYhAwIu7Jo
201501280NOP,NOP,DEN,ZHr6yGslNno
201501300NOP,NOP,LAC,USFSdEcPDKY
201502020NOP,NOP,ATL,lNKC0FfTa5Q
201502040NOP,NOP,OKC,GkWeYt3V4GI
201502060OKC,OKC,NOP,ij1XwSIix_A
201502070NOP,NOP,CHI,G8Pz7EQAUJY
201502090NOP,NOP,UTA,aW5_kS8BZm8
201502110NOP,NOP,IND,XxSr2nArxkA
201502200ORL,ORL,NOP,HljCpKlh-X0
201502210MIA,MIA,NOP,9oXI9B1Ot2A
201502230NOP,NOP,TOR,gJoBiSBg7gM
201502250NOP,NOP,BRK,cYvIPwuFChA
201502270NOP,NOP,MIA,Nh6QW8_R7ec
201503010DEN,DEN,NOP,HIFYByuSLCc
201503020DAL,DAL,NOP,sI7YwK1lK78
201503040NOP,NOP,DET,R61MHsTfrF4
201503060NOP,NOP,BOS,Hf2UCZtvWhg
201503070NOP,NOP,MEM,S_KdG2XsWwM
201503090MIL,MIL,NOP,-Mkx7ci5ykE
201503100BRK,BRK,NOP,PD2ZD79awIs
201503150NOP,NOP,DEN,wExsP7bi1j8
201503170NOP,NOP,MIL,d7AL00seaXI
201503190PHO,PHO,NOP,al_Kh9b5lEQ
201503220LAC,LAC,NOP,VndxAY_uH2k
201503250NOP,NOP,HOU,lEapNeRqqoI
201503270NOP,NOP,SAC,ST-yuMPWWyg
201503290NOP,NOP,MIN,grhsdl-2j_4
201504010LAL,LAL,NOP,ZTlTFLlYnfQ
201504030SAC,SAC,NOP,HljCpKlh-X0
201504040POR,POR,NOP,1CVT6UmtQnQ
201504080MEM,MEM,NOP,A0caGMfMMvg
201504100NOP,NOP,PHO,fZzojw1bq6A
201504120HOU,HOU,NOP,C2aQprUKlvU
201504130MIN,MIN,NOP,ZGIsMpmhhxI
201504150NOP,NOP,SAS,lImYbfXNAO4
201410300ORL,ORL,WAS,qsWAtkIWgt4
201411010ORL,ORL,TOR,QqmJnbIrmY4
201411040CHI,CHI,ORL,bnPyjnneV_M
