id,video
201711100PHO,nTvS7LpV7HA
201711100POR,a9Q7wo4TZMI
201711100SAS,xNraJcMRiW4
201711100UTA,RPlPgrqHlMw
201711110DAL,CxmGAflUk-s
201711110DEN,MMRdvbUpp-U
201711110GSW,3HQZYBZpjFc
201711110HOU,W4eCG1s4Vuk
201711110MIL,OJyLvQIQRVQ
201711110NOP,o-5pHwkRW2s
201711110NYK,d3_9E7vFJqg
201711110PHO,KLJ-ldyNqRs
201711110SAS,cuLprHh_BRg
201711110UTA,1hQ-v2LLFpA
201711110WAS,zuKbyixSYNk
201711120BOS,FtVgkxOYhFs
201711120DET,Ajv62p_uhlo
201711120IND,b3S-sJcmz7o
201711120OKC,CgTHDwlfPH4
201711130GSW,vIcu6vcH0EM
201711130LAC,A9QbKosLa1Q
201711130MIL,bQGEfIkS3vo
201711130NOP,wwVlOLHrm9Q
201711130NYK,JvA89Son1P8
201711130PHO,vpsP_cg8urU
201711130POR,1puTri4uUIY
201711130UTA,gxUDBKUTDSg
201711130WAS,3EsT6Aq_bKI
201711140BRK,q8g15sgcu80
201711140DAL,88EvnrLwwmg
201711140HOU,hLWE_Wt6Li4
201711150ATL,qdgMLrqQrYU
201711150CHO,YIt_eCZK8Ec
201711150LAL,H0hDgHKzgCo
201711150MEM,l1ktQ1tytn8
201711150MIA,TgaQSHzofPw
201711150MIL,zmTknlIYHXY
201711150MIN,dLMMoLVWcSw
201711150NOP,4umRHTpWLsg
201711150NYK,rL_zNF6yQAM
201711150OKC,q9az0U05qc4
201711150POR,5c8vTRSHFw8
201711160BOS,AOYACk7m7Fk
201711160PHO,qAf1yBPgrPg
201711170BRK,L9o_YuTqa_s
201711170CHI,xYJSYkGp_Tg
201711170CLE,jC-Tygnrlyw
201711170DAL,cXilrpeEqHc
201711170DEN,TylObfEP2_0
201711170IND,BybwKA6u0YQ
201711170LAL,vpsP_cg8urU
201711170SAC,_lS0hPjDwCo
201711170SAS,-AS_UpZcYD4
201711170TOR,cS66uvgLgp8
201711170WAS,nkLUMfaI8QM
201711180ATL,Ajv62p_uhlo
201711180CHO,cy1k4uHVHMo
201711180DAL,hbvtWdbm1Ug
201711180MEM,Hs-Ba9fftLw
201711180ORL,N2vbkJjZG5A
201711180PHI,LLmN1mYHCb0
201711180POR,cxUin0aT9l4
201711190BRK,1hQ-v2LLFpA
201711190LAL,ju40vYNp0Uc
201711190MIA,j9wxvVf4KeA
201711190MIN,FlgogELYnI0
201711190PHO,vpsP_cg8urU
201711190TOR,kr9hGMasJys
201711200CHO,-Tfk7I0MODU
201711200DAL,nDl28m9NfGc
201711200DET,IbAVoDwpHP0
201711200MEM,SEqrW_AYt4k
201711200MIL,krwZ6r1e_nM
201711200NOP,kaCmpn2t8Nc
201711200NYK,aqLHF46G7OA
201711200ORL,vZ_kxjRHC-Q
201711200PHI,-JmDTqH7Ibs
201711200SAC,VZ6Y4B3Wrqw
201711200SAS,89gdiIvVZ0E
201711210LAL,ZpV225yCIuU
201711220ATL,c-ioi0-fowk
201711220CHO,AhUbAbQ6DeM
201711220CLE,kQArgKzMk0g
201711220HOU,suvzvkBPC6w
201711220MEM,Tsx1X2nZ5EU
201711220MIA,AOYACk7m7Fk
201711220MIN,MMRdvbUpp-U
201711220NOP,BlKzgAmlHHI
201711220NYK,kmVIcNqBfF4
201711220OKC,MMRdvbUpp-U
201711220PHI,Zxwk7EOPsrY
201711220PHO,kWzd2Ub88Zs
201711220SAC,RgB5Ub1GNUU
201711220UTA,q9az0U05qc4
201711240ATL,ABSxAqt50Zw
201711240BOS,XknrLEAZQ3g
201711240BRK,3XjI1_K_CaQ
201711240CLE,08GQI7dg_aI
201711240DEN,vZh6fMLRPwg
201711240GSW,UECspGmfs9E
201711240IND,dmUpU15XwM4
201711240MIN,RPlPgrqHlMw
201711240OKC,knmTkN4rPUw
201711240PHO,l9vkcI1GQnw
201711250ATL,nVxFWSiezWA
201711250CHO,fLpfUyF-KM4
201711250DAL,CgTHDwlfPH4
201711250GSW,a9Q7wo4TZMI
201711250HOU,8Zxw0Szq0Bg
201711250IND,W4K7nKW6sDg
201711250PHI,XknrLEAZQ3g
201711250SAC,cgxLi6Kj2rw
201711250UTA,sKc3N62vInY
201711250WAS,_lS0hPjDwCo
201711260CHI,hnv5GjtQFsI
201711260MEM,hnv5GjtQFsI
201711260MIN,FU4jNEpWK-c
201711270BOS,1TVKGEsF4eU
201711270GSW,pclCNn-KXuM
201711270HOU,a9Q7wo4TZMI
201711270IND,9Pub_sp9j44
201711270LAC,8h0hfRQSsYU
201711270NYK,KtRNuT6c5hQ
201711270PHI,0CqIf57mxmI
201711270SAS,Z_anh00Cs8s
201711280CHI,j-cJ03EM004
201711280CLE,H_D4dnylJ7Q
201711280MIN,aHjsMwJVuzk
201711280SAC,3ZyrixDZmFo
201711280UTA,qZEQ0ZmUuTg
201711290DAL,a9Q7wo4TZMI
201711290DET,W4K7nKW6sDg
201711290HOU,GYPsIiSZC84
201711290LAL,UCjaqSKKano
201711290NOP,ZGIsMpmhhxI
201711290NYK,CeYmRC0hFJc
201711290ORL,jktBxyI_ldI
201711290PHI,HWNhFYTbhvM
201711290SAS,MBiraedYBvo
201711290TOR,9tYcsCOHRMw
201711300ATL,pT98otjga1c
201711300BOS,IjGXY9rzwGc
201711300DEN,H6hANHmU9K0
201711300LAC,CD2yBy-EqnU
201711300POR,z-DMMuUEwQs
201712010CHI,qdgMLrqQrYU
201712010MEM,Llpv_m1SuGk
201712010MIA,Bl2UAyA6xr8
201712010OKC,Wd8F2zf-Ljk
201712010ORL,nKduGl2A1bk
201712010TOR,pP_WoHUwp7A
201712010UTA,HlvrK3QmaR4
201712010WAS,YKu4rMNVLFk
201712020BOS,Pan_1zX0RPE
201712020BRK,x6igizMSo04
201712020CLE,8p0ws-laJ9w
201712020DAL,EGqNNhAibTg
201712020DEN,DLChw1g8z_Y
201712020MIL,cJrGZZ913Kk
201712020PHI,kmc-p3PKC5o
201712020POR,vIb7BtFfl3w
201712030LAL,mUEzV4krjJA
201712030MIA,R_k_crufV1g
201712030MIN,WU7wCV29X24
201712030NYK,QTuYcThRqjQ
201712030OKC,loAPWXr0x00
201712040ATL,a9Q7wo4TZMI
201712040BOS,FmrqGXYDILI
201712040CHI,qpLZFzYKadI
201712040CHO,4Bl19esiSoY
201712040DAL,sLwLoicdKsI
201712040IND,JbRMPYVh4Uc
201712040MEM,5ECHa9poBqc
201712040NOP,nKduGl2A1bk
201712040PHI,GwzkTI9c3AI
201712040SAS,oFZHCJRuVwM
201712040UTA,vAFxF0yoPTs
201712050OKC,RGLdqCz1-G8
201712050POR,j5cSKF5FzD0
201712050TOR,aEmcZ9Y0aHs
201712060BOS,6kW6N2Ax9XA
201712060CHO,Dmke7XiJwSg
201712060CLE,_lnD9SdGiD8
201712060IND,GMw_ZpEt9h8
201712060LAC,U-CTUH8EL3A
201712060MIL,zmTknlIYHXY
201712060NOP,XKI0xlnMBZQ
201712060NYK,AdH0VJNqy1Y
201712060ORL,g4ZZUeFCNss
201712060SAS,b8kEa-L_IDs
201712070BRK,MMRdvbUpp-U
201712070PHI,-6PByXE1tLw
201712070PHO,P5dLgJ6T_oU
201712070UTA,xyTCgkEs_yA
201712080CHO,GMw_ZpEt9h8
201712080DET,N_rgW7PWJFc
201712080IND,o4OOShfMz_E
201712080MEM,j7C2SNxcQO0
201712080MIL,_SgROelEz64
201712080NOP,IAPsAVTjO08
201712080ORL,LkP0Qw9Gmjo
201712080SAS,WiCe_dvl4Xo
201712090ATL,atL389BvDnQ
201712090BRK,ss_XM8a5sVw
201712090CHI,EBzEgkBrIas
201712090CHO,vpsP_cg8urU
201712090CLE,-A-I52Of7M0
201712090LAC,evkPGlNnjSM
201712090MEM,ewVTUP0K9YY
201712090MIL,k2vShXsxfak
201712090PHO,1ZDzKORPNZw
201712090POR,OBDy72dYPD0
201712100DET,W4K7nKW6sDg
201712100IND,0d96Tm4nMKc
201712100MIN,x6d5JdoLu7Q
201712100NOP,nSIuxZWJK0I
201712100NYK,OfTD3wKNmrU
201712100SAC,RgB5Ub1GNUU
201712110CHI,q9az0U05qc4
201712110GSW,zV8IV4C9ieQ
201712110HOU,8AQCBaN2nXk
201712110LAC,iK5I5_-tQm8
201712110MEM,VFvHD5raVMc
201712110OKC,yrFldSGm9D0
201712120BRK,vAFxF0yoPTs
201712120CLE,NjmJcaOlK5A
201712120DAL,nvrLqtzQGak
201712120DET,hL70m1N80OE
201712120MIN,epsQyFfuWyk
201712120NYK,27r6V2XkdhA
201712120SAC,JnsgqsDWTjo
201712130BOS,UdGOtIoje9c
201712130CHI,Lz-BiZEgZuk
201712130HOU,yrFldSGm9D0
201712130IND,mjzhf0aXXEg
201712130MIA,QfAlwEtemtU
201712130NOP,T1a1qATY9nU
201712130ORL,3CSiaWJystQ
201712130PHO,wunyCYfUEeg
201712130WAS,k2Elif0xs2w
201712140ATL,Avv68HfQYGc
201712140BRK,LN1FD5Pgjkg
201712140CLE,RgB5Ub1GNUU
201712140GSW,6Gbd6CfpeNs
201712140MIN,NXZDlQHdFxM
201712150BOS,XqzLTWzDEfQ
201712150CHO,Ajv62p_uhlo
201712150DEN,oHXI1rF1MTg
201712150HOU,jlB8F9WCLlY
201712150IND,kmc-p3PKC5o
201712150MEM,19_ZchJSVCI
201712150MIL,-pE7eyQDVgA
201712150ORL,_lS0hPjDwCo
201712150PHI,8NX06VFkOSU
201712150TOR,4GYe6v47erM
201712150WAS,evkPGlNnjSM
201712160CHO,W5SuWhqAJt8
201712160CLE,ZYTOn2qK3e0
201712160HOU,BmzBDEGOqSM
201712160MEM,Ajv62p_uhlo
201712160MIA,qvzunMdVVtw
201712160MIN,B6y3V3qfp2k
201712160NYK,TWI51vURZCo
201712160SAS,88EvnrLwwmg
201712170BRK,z72DIlw9CQs
201712170DET,IsdOKG1OwZ4
201712170TOR,qdgMLrqQrYU
201712170WAS,vAFxF0yoPTs
201712180ATL,yhlLZsMKWQA
201712180CHI,LLmN1mYHCb0
201712180CHO,-qGMpolsItE
201712180DAL,Pdw0bVAs4XY
201712180HOU,zfOtDN9AVPE
201712180IND,0MC30D0BYqE
201712180LAL,MMRdvbUpp-U
201712180MIN,cU4xvRLbAHA
201712180OKC,x8GTylF1OoE
201712180SAS,tjbEXAOWHIQ
201712190MIL,DoptObezZAs
201712190PHI,PC-oh24Vk7c
201712190WAS,6fm896n6lyo
201712200ATL,G6TJ8s1mKQE
201712200BOS,FwesuQPebAs
201712200BRK,a9Q7wo4TZMI
201712200CHI,6nADQuC9bQg
201712200CHO,Wb9zbKqcEPU
201712200DAL,gWU15iohCxU
201712200DEN,3KD2rAaah9k
201712200GSW,S_KdG2XsWwM
201712200HOU,mSzoLXlAZu4
201712200LAC,e7kyR66oH38
201712200OKC,6kvGjShd8Wg
201712200POR,Lcvsa1jqXcQ
201712210CLE,QjllKLHX94s
201712210NYK,wNWOthdz8yA
201712210PHI,52qxVuZOuIM
201712210PHO,mZiqxrVGTxQ
201712210UTA,7lhQCNPxSZU
201712220BRK,HkxrJmFJKfI
201712220DET,lK8ari74iL4
201712220GSW,KGWb-a5Y6Do
201712220HOU,UtnTbOzNLt0
201712220MIA,ZJSlpLRjBk4
201712220MIL,oYMeiRVTs1U
201712220OKC,JS3AhjHzkm8
201712220ORL,XKI0xlnMBZQ
201712220POR,pr4Ep-W0EHY
201712230ATL,Tc7sp6B890s
201712230BOS,6nADQuC9bQg
201712230CHO,4tXHtaqf3T4
201712230GSW,sklLkiFhfV8
201712230IND,z72DIlw9CQs
201712230LAL,gHPubcpGkrk
201712230MEM,LBX8MTAbtPU
201712230MIA,Ggo0JumRbL4
201712230PHO,FU4jNEpWK-c
201712230SAC,2_-Jw9QjyfU
201712230TOR,B01kAPFRkGU
201712230UTA,BB50pdqpmOM
201712230WAS,2yEPwcbRGOw
201712250BOS,WekwfGHujBE
201712250GSW,prOVG2ATEsA
201712250LAL,aVjN1UIZFwk
201712250NYK,c6GuNEBW9pY
201712250OKC,EA3dpjaFGwE
201712260DAL,iPQy2jsxHoI
201712260DEN,E3zcbKLtveU
201712260DET,b0nmJt8d0JY
201712260LAC,I_ZJeDPMrhY
201712260MIA,gNzIGipzXUY
201712260MIL,VGNpocf_7Bw
201712260PHO,CWp07slnl5s
201712260SAS,siBHFX9VCe4
201712270ATL,hZ5ylpJlf4I
201712270CHI,xPaImnC9oo8
201712270CHO,Ajv62p_uhlo
201712270GSW,iO72qIRxcCY
201712270IND,Z_anh00Cs8s
201712270LAL,60qDALAiIb8
201712270MIN,5ECHa9poBqc
201712270NOP,a9Q7wo4TZMI
201712270OKC,o53CP-B8OsA
201712270SAC,sNnf-U5stwg
201712280BOS,839BFv2cb7k
201712280MIL,NbnRli0rak8
201712280ORL,ZBLzAIslNhY
201712280POR,67nqU-V0r_c
201712280SAS,C44ezERHxfg
201712290CHI,tmQ4IXtpvHk
201712290GSW,pZm23YZ_RAA
201712290LAL,7DT_8xZwDRU
201712290MIA,a9Q7wo4TZMI
201712290NOP,ZJSlpLRjBk4
201712290OKC,cBNaUCxtsBc
201712290SAC,vpsP_cg8urU
201712290TOR,x6igizMSo04
201712290WAS,nUgoCbahm9o
201712300ATL,xwr05ELocY8
201712300DEN,BLKMdd9JqZ8
201712300DET,k2W3trKyNOc
201712300GSW,S_KdG2XsWwM
201712300NOP,UDI0sPqHgFY
201712300ORL,U81fmwyYfC0
201712300UTA,zM2ksFYmTPM
201712310BOS,8x1B4BW0TZ8
201712310HOU,Yioa-vksWlI
201712310IND,ZGIsMpmhhxI
201712310LAC,WRHe-Xwvdrg
201712310OKC,mRLNmeBievY
201712310PHO,GwzkTI9c3AI
201712310SAC,7OegFahjysw
201712310WAS,9W2Zk2JhcAI
201801010BRK,51kFHWpeERU
201801010CHI,uIF4-dmhPnQ
201801010MIN,pvF25RvaKUY
201801010TOR,mpeyIEt5Lwg
201801020CLE,puBIMtm4p4Q
201801020LAC,ZCSwWwvvO_M
201801020NYK,o9yAi5isxi4
201801020PHO,TMkt2oEX7gw
201801020SAC,CIXBCmxtvEM
201801030BOS,Pcrr8RSoUf0
201801030BRK,4vGmWBSLEsw
201801030CHI,nvljyqSWps8
201801030DAL,dek9OSrjHLg
201801030DEN,9DFpN0qkZXk
201801030LAL,GkWeYt3V4GI
201801030MIA,JJt8Hqgj5EE
201801030MIL,QNQPG6TVaZY
201801030ORL,rj4EfuPxmVc
201801030PHI,N0QbwhAHoR4
201801030UTA,de65UdbCxAc
201801030WAS,19V79LZTMmc
201801040HOU,rj4EfuPxmVc
201801040LAC,Cr5frYba30w
201801050BOS,S0emP4lNpKQ
201801050DAL,-s0LjxBw2jc
201801050DEN,N2vbkJjZG5A
201801050LAL,k-5TOJmqTJw
201801050MEM,Fx7g0ECISnE
201801050MIA,YZp2GXxev9Y
201801050MIL,OsBxvhefLS8
201801050PHI,vxYBsUdosGo
201801050POR,4UbNCvTE_G4
201801050SAS,h27g3ivoswM
201801060BRK,Cm4PtLhM1pQ
201801060DET,rj4EfuPxmVc
201801060IND,Fpng1WEZJkw
201801060LAC,EGqNNhAibTg
201801060MIN,ZGIsMpmhhxI
201801060ORL,lbphNW-JYiw
201801060SAC,N0QbwhAHoR4
201801060WAS,Sj_pCrCt7xY
201801070DAL,IKz14KMKreE
201801070LAL,L_Nu_VGAQpQ
201801070MIA,1EOPpzojEsU
201801070PHO,vokice5FqkI
201801070POR,3WOEISRk8FE
201801080BRK,QpZQhLE8Bb4
201801080CHI,m4nlJy3RwYI
201801080GSW,ZJ6d2HmJH8Y
201801080IND,QNQPG6TVaZY
201801080LAC,nNPfUECIJ64
201801080MIN,lkYeWG5kXHw
201801080NOP,_VKg6nGSzEI
201801080SAC,5iMACbIWQLI
201801090DAL,x6d5JdoLu7Q
201801090LAL,iADI2mPcMQ4
201801090OKC,xf7-496qHu4
201801090TOR,fHpdUeVYQeU
201801100BRK,MobrXt3sLsQ
201801100CHO,VDXX1-YZ3bs
201801100DEN,nAYPkKGFOFo
201801100GSW,EGqNNhAibTg
201801100HOU,qstwObPONKo
201801100IND,A6RFsXdK0Lw
201801100MEM,xPFbjFmKkus
201801100MIL,3dQvwZtAAJE
201801100MIN,GkWeYt3V4GI
201801100NYK,znAX2jFirGM
201801100WAS,gd7FQDG2G6s
201801110LAL,wqIO6NZtmCc
201801110PHI,rMQC1BY53tI
201801110SAC,gsuLO0IJvcU
201801110TOR,B8K796xWv4Q
201801120ATL,CIXBCmxtvEM
201801120CHO,v2kgRSPnToI
201801120DEN,wp0JA1NZvt8
201801120IND,A6RFsXdK0Lw
201801120MIL,Dmke7XiJwSg
201801120MIN,IKz14KMKreE
201801120NOP,ur0m_Mz3ox8
201801120PHO,9XVnEWL-_ag
201801120WAS,DyBxVyQASJ8
201801130CHI,dzbupea2z0o
201801130CHO,cfcVw1ZJMlE
201801130DAL,3j3N5CRggEE
201801130LAC,1BZksmwBnH8
201801130SAS,N0QbwhAHoR4
201801130TOR,2Q-qkpuqY-4
201801130WAS,9EhSTssxZTo
201801140MIA,7bPcnMxqBgw
201801140MIN,tf7MM9tYTPE
201801140NYK,IKz14KMKreE
201801140PHO,MyNcFEHde4s
201801150ATL,QIBju5Rj9iM
201801150BRK,RNtCYcME_5Q
201801150CHI,E80WT9rh03s
201801150CLE,6ZqYNgDdLfQ
201801150DET,uePPUqcuM3Y
201801150LAC,rj4EfuPxmVc
201801150MEM,pvF25RvaKUY
201801150OKC,B0mzqYFWLMo
201801150PHI,aiSYP2zg-Jg
201801150UTA,A6RFsXdK0Lw
201801150WAS,jte7-qJnsPY
201801160BOS,CtZvfgvE2YI
201801160DEN,x6d5JdoLu7Q
201801160ORL,Eux5mxmIlTE
201801160POR,z_hgfUTHsbw
201801170ATL,bn8VKox7vpo
201801170BRK,sHIMZEIbOd8
201801170CHI,RgB5Ub1GNUU
201801170CHO,Z0LCNFq0KhI
201801170LAC,fv3Bt_aRy9g
201801170MEM,7dnpCXv4BPU
201801170MIL,-GNfxD-sLg4
201801170OKC,rgEA_a6Ap1I
201801170SAC,ADjFUqvxG_M
201801170TOR,XPuB71sfKkk
201801180BOS,jC81oJeYdx8
201801180CLE,BEaYWJHjCAo
201801180HOU,REKs38L2g7w
201801180POR,WRTsM10AG1U
201801190BRK,ozJnSW49BFs
201801190DEN,WT-5GdlFKuI
201801190DET,YKu4rMNVLFk
201801190LAL,pUDmR_FWLk8
201801190MEM,Wn2vwDEwB6o
201801190TOR,284uqyhwhcc
201801190UTA,awRxnrI6xIM
201801200ATL,VC7JNd3FvAg
201801200CHO,g5UJiQBU7d8
201801200CLE,nMRpqn1aqxk
201801200HOU,rj4EfuPxmVc
201801200MIN,mcwbxMMtKB0
201801200NOP,qRMpm86Kjaw
201801200PHI,C07mn1NErMc
201801200POR,-SjoGKM5DwE
201801200UTA,EGqNNhAibTg
201801210BOS,pe82lsBwU9E
201801210DET,MRgQjTt0z18
201801210LAL,Va93He9Gzjo
201801210SAS,WWDtggjpKpY
201801220ATL,YLEler5ONzY
201801220CHO,SMdH4iJDALE
201801220DAL,FHFmw7D4PBM
201801220DEN,_5Y1hzuFedQ
201801220HOU,FHFmw7D4PBM
