id,home,away,video
201511280UTA,UTA,NOP,GUMWt8qKUbk
201512010NOP,NOP,MEM,gr-oRtRH-bU
201512020HOU,HOU,NOP,ZTlTFLlYnfQ
201512040NOP,NOP,CLE,Q5Qdw9jwY8Q
201512070NOP,NOP,BOS,r_liBadmQtQ
201512110NOP,NOP,WAS,HEL-HsG63R8
201512120CHI,CHI,NOP,G8Pz7EQAUJY
201512140POR,POR,NOP,ie9zWB4ilNM
201512160UTA,UTA,NOP,zZBZoq0l2zY
201512180PHO,PHO,NOP,1hrBhERKD0E
201512200DEN,DEN,NOP,5W851X3Nw2A
201512230NOP,NOP,POR,C2COxBPP0jQ
201512250MIA,MIA,NOP,u8rQCm9_i3o
201512260NOP,NOP,HOU,C7hf0Tz-HbE
201512280ORL,ORL,NOP,c-I9m-5V5AE
201512310NOP,NOP,LAC,EGqNNhAibTg
201601020DAL,DAL,NOP,kHu9J6GbNYg
201601060NOP,NOP,DAL,ZY0AqlYWcRI
201601080NOP,NOP,IND,Z1HUTU-Oz4Q
201601100LAC,LAC,NOP,ealcYzaiiKI
201601120LAL,LAL,NOP,zziBybeSAtw
201601130SAC,SAC,NOP,tGTEaqg6xN0
201601150NOP,NOP,CHO,metapp0XZ9k
201601180MEM,MEM,NOP,OxCgEGrAyxY
201601190NOP,NOP,MIN,grhsdl-2j_4
201601210NOP,NOP,DET,TZlz0Zc8Ba0
201601230NOP,NOP,MIL,LmOPOUTilfQ
201601250NOP,NOP,HOU,WquqvDHMGqU
201601280NOP,NOP,SAC,S5iSh25LxtY
201601300NOP,NOP,BRK,bkZWcGqGQ6M
201602010NOP,NOP,MEM,hsJ1J-iagbI
201602030SAS,SAS,NOP,385oCUuWHdM
201602040NOP,NOP,LAL,LiClBMZfcho
201602060CLE,CLE,NOP,PAJE1IuVDkw
201602080MIN,MIN,NOP,5oJqiWRdKG4
201602100NOP,NOP,UTA,aW5_kS8BZm8
201602110OKC,OKC,NOP,006MuJDWxXc
201602190NOP,NOP,PHI,0eS9e-WIABE
201602210DET,DET,NOP,TZlz0Zc8Ba0
201602230WAS,WAS,NOP,gqQS6gQ7nCA
201602250NOP,NOP,OKC,vokice5FqkI
201602270NOP,NOP,MIN,0AJUkSXRNt8
201603020HOU,HOU,NOP,C2aQprUKlvU
201603030NOP,NOP,SAS,8slSXXleGFw
201603050NOP,NOP,UTA,hRGdpwT0nc8
201603070NOP,NOP,SAC,8jAB5veFYxk
201603090CHO,CHO,NOP,rJZ6kzdaSgg
201603110MEM,MEM,NOP,WlPh_H3eHr8
201603120MIL,MIL,NOP,9RAFMQd3t0c
201603160SAC,SAC,NOP,zZBZoq0l2zY
201603180NOP,NOP,POR,ie9zWB4ilNM
201603200NOP,NOP,LAC,X4Nzc-Mc-88
201603220NOP,NOP,MIA,fXWTMFJlk_s
201603240IND,IND,NOP,c-I9m-5V5AE
201603260NOP,NOP,TOR,_f8rWqh9vCU
201603280NOP,NOP,NYK,19V79LZTMmc
201603300SAS,SAS,NOP,8L6h2NsOmZw
201603310NOP,NOP,DEN,SpePxzuJkBA
201604030BRK,BRK,NOP,-LoTHq5mGAQ
201604050PHI,PHI,NOP,oDQTY0n5C5Q
201604060BOS,BOS,NOP,ykfa3rfGxZU
201604080NOP,NOP,LAL,H79JI1zq-R8
201604090NOP,NOP,PHO,al_Kh9b5lEQ
201604110NOP,NOP,CHI,DJTuDVJrhWA
201604130MIN,MIN,NOP,CKI5rXTME8o
201510280ORL,ORL,WAS,pp9Z76wIaIM
201510300ORL,ORL,OKC,JkDd3c7OWFo
